zip,name,city,state,latitude,longitude,region,county,ugc_codes,cwa
86023,Grand Canyon National Park Airport,Tusayan,AZ,35.9525508,-112.1454443,Southwest,Coconino County,,
95019,Watsonville Municipal Airport,Watsonville,CA,36.9336317,-121.7891005,West,Santa Cruz County,,
80301,Boulder Municipal Airport,Boulder,CO,40.0367937,-105.2254509,Mountain,Boulder County,,
33132,Miami Seaplane Base,Miami,FL,25.7834634,-80.1775503,Southeast,Miami-Dade County,,
31297,Middle Georgia Regional Airport,Macon,GA,32.6934447,-83.648853,Southeast,Bibb County,,
96709,Port Allen Airport,Port Allen,HI,21.8973068,-159.602585,Pacific,Kauaʻi County,,
52641,Mount Pleasant Municipal Airport,Mount Pleasant,IA,40.9471477,-91.5137927,Midwest,Henry County,,
83226,Challis Airport,Challis,ID,44.5238691,-114.2158296,Mountain,Custer County,,
61702,Central Illinois Regional Airport at Bloomington-Normal,Bloomington,IL,40.4733346,-88.9223813,Midwest,McLean County,,
47907,Purdue University Airport,West Lafayette,IN,40.4122009,-86.9401908,Midwest,Tippecanoe County,,
67206,Beech Factory Landing Field,Wichita,KS,37.6940194,-97.2169004,Midwest,Sedgwick County,,
40209,Louisville Muhammad Ali International Airport,Louisville,KY,38.1716997,-85.7385057,Southeast,,,
70427,George R Carr Memorial Air Field,Bogalusa,LA,30.81294,-89.8635874,South Central,Washington Parish,,
02345,Plymouth Municipal Airport,Plymouth,MA,41.907462,-70.7277151,Northeast,Plymouth County,,
21811,Ocean City Municipal Airport,Berlin,MD,38.3116898,-75.1219703,Mid-Atlantic,,,
04745,Northern Aroostook Regional Airport,Frenchville,ME,47.2870564,-68.3157141,Northeast,,,
49841,Marquette Sawyer Regional Airport,Gwinn,MI,46.349652,-87.3871745,Midwest,,,
56081,Saint James Municipal Airport,St. James,MN,43.9857179,-94.5547407,Midwest,,,
64153,Kansas City International Airport,Kansas City,MO,39.3025493,-94.7098157,Midwest,,,
39158,Bruce Campbell Field,Madison,MS,32.4393815,-90.1030708,Southeast,Madison County,,
59758,Yellowstone Airport,West Yellowstone,MT,44.6865319,-111.1195775,Mountain,Gallatin County,,
27101,Smith-Reynolds International Airport,Winston-Salem,NC,36.1350274,-80.2214594,Southeast,Forsyth County,,
56755,Pembina Municipal Airport,McArthur,ND,48.9431789,-97.2411151,Midwest,Pembina County,,
51510,Eppley Airfield,Omaha,NE,41.3011461,-95.8953394,Midwest,Douglas County,,
03598,Mount Washington Regional Airport,Whitefield,NH,44.3668798,-71.5451379,Northeast,,,
08733,Lakehurst Naval Air Weapons Center/Maxfield Field,Jackson Township,NJ,40.0333909,-74.3536849,Mid-Atlantic,Ocean County,,
88030,Deming Municipal Airport,Deming,NM,32.2623094,-107.7205839,Southwest,Luna County,,
89801,Elko Regional Airport,Elko,NV,40.8254375,-115.7930579,West,Elko County,,
13329,Dolgeville Airport,Dolgeville,NY,43.1180053,-74.7447271,Mid-Atlantic,,,
45177,Wilmington Air Park,Wilmington,OH,39.4305361,-83.795496,Midwest,Clinton County,,
73013,Wiley Post Airport,Oklahoma City,OK,35.534144,-97.6455232,South Central,Oklahoma County,,
97060,Portland-Troutdale Airport,Troutdale,OR,45.5491195,-122.4032643,West,Multnomah County,,
17870,Penn Valley Airport,Monroe Township,PA,40.8163721,-76.8604622,Mid-Atlantic,Snyder County,,
29404,Charleston International Airport,North Charleston,SC,32.8994893,-80.0436478,Southeast,Charleston County,,
37829,Rockwood Municipal Airport,Pine Orchard,TN,35.9219131,-84.6914565,Southeast,Cumberland County,,
79111,Rick Husband Amarillo International Airport,Amarillo,TX,35.2182454,-101.7053152,South Central,,,
84078,Vernal Airport,Naples,UT,40.435731,-109.5093941,Mountain,Uintah County,,
22960,Gordonsville Municipal Airport,Orange,VA,38.1557411,-78.1660809,Mid-Atlantic,Orange County,,
05151,Hartness State Airport,Weathersfield,VT,43.3449714,-72.5181664,Northeast,Windsor County,,
99211,Felts Field Airport,Spokane,WA,47.6847068,-117.3202483,West,Spokane County,,
54942,Appleton International Airport,Greenville,WI,44.2604678,-88.5111003,Midwest,Outagamie County,,
25704,Huntington Tri-State Airport/Milton J. Ferguson Field,Huntington,WV,38.3679278,-82.5579804,Mid-Atlantic,,,
83512,Rawlins Municipal Airport,Rawlins,WY,41.8068055,-107.1990565,Mountain,Carbon County,,
99820,Angoon Seaplane Base,Angoon,AK,57.5033333,-134.585,Alaska,Unorganized Borough,,
35212,Birmingham-Shuttlesworth International Airport,Birmingham,AL,33.5646657,-86.7547354,Southeast,,,
72529,Sharp County Regional Airport,Cherokee Village,AR,36.2645612,-91.5627708,South Central,Sharp County,,
85286,Chandler Municipal Airport,Chandler,AZ,33.2698653,-111.8099879,Southwest,,,
95148,Reid-Hillview Airport,San Jose,CA,37.3339773,-121.8200809,West,,,
80488,Steamboat Springs Airport,Steamboat Springs,CO,40.5167938,-106.8669918,Mountain,Routt County,,
32403,Tyndall Air Force Base,Tyndall Air Force Base,FL,30.0683193,-85.575659,Southeast,,,
