zip,name,city,state,latitude,longitude,region,county,ugc_codes,cwa
15825,Moonlite Drive-In,Brookville,PA,41.1671782,-79.1137913,Mid-Atlantic,,,
47042,Bel-Air Drive-In,Versailles,IN,39.0796899,-85.2734014,Midwest,,,
24712,Pipestem Drive-In,Athens,WV,37.4763581,-81.0041866,Mid-Atlantic,,,
42743,Skyline Drive-In,Greensburg,KY,37.3317695,-85.5504992,Southeast,Green County,,
46738,Auburn-Garrett Drive-In,Garrett,IN,41.3653324,-85.1445054,Midwest,,,
37033,Pink Cadillac Drive-In,Centerville,TN,35.8477606,-87.3949203,Southeast,,,
76048,Brazos Drive-in,Granbury,TX,32.4403789,-97.806815,South Central,,,
74953,The Tower Drive-In,Poteau,OK,35.075095,-94.6259498,South Central,,,
44039,Aut-o-Rama Drive-in,Ridgeville,OH,41.376549,-81.9850549,Midwest,,,
23067,Goochland Drive-In Theater,Hadensville,VA,37.8446956,-77.98929,Mid-Atlantic,,,
14173,Delevan Twin Drive-In,Delevan,NY,42.5086481,-78.4807585,Mid-Atlantic,Cattaraugus County,,
12051,Hi-Way Drive-In,Coxsackie,NY,42.3248811,-73.8503312,Mid-Atlantic,,,
73023,The Chief Drive-In Theatre,Chickasha,OK,34.9959931,-97.9379445,South Central,Grady County,,
53581,Starlite 14 Drive-In,Richland Center,WI,43.3159909,-90.3484338,Midwest,,,
53965,Big Sky Twin Drive-In Theatres,Wisconsin Dells,WI,43.609284,-89.7370792,Midwest,Columbia County,,
03055,Milford Drive-In Movie Theater,Milford,NH,42.8452585,-71.6966992,Northeast,,,
12133,Hathaway's Drive-In,North Hoosick,NY,42.9256098,-73.3369872,Mid-Atlantic,Rensselaer County,,
03451,Northfield Drive-In,Hinsdale,MA,42.7274071,-72.4496736,Northeast,,,
12077,Jericho Drive-In Theater,Town of Bethlehem,NY,42.5746278,-73.8059325,Mid-Atlantic,Albany County,,
32210,Drive-In Theater,Jacksonville,FL,30.23625,-81.7415287,Southeast,Duval County,,
78723,Blue Starlight Mini Urban Drive-in,Austin,TX,30.2863456,-97.6961903,South Central,Travis County,,
17019,Haar's Drive In,Carroll Township,PA,40.1257645,-77.0198831,Mid-Atlantic,York County,,
95136,West Wind Capitol 6 Drive-In,San Jose,CA,37.2808668,-121.8399663,West,,,
74554,Drive-In Theater,Krebs,OK,34.9285839,-95.7318625,South Central,Pittsburg County,,
74502,Drive-In Theater,Krebs,OK,34.9072977,-95.7111729,South Central,Pittsburg County,,
43953,Winter Drive In Theater,Wintersville,OH,40.3838846,-80.6991766,Midwest,,,
48162,Memory Lane Drive-In Theater,Frenchtown Charter Township,MI,41.9721366,-83.3764705,Midwest,,,
93106,Drive-In Theater,Goleta,CA,34.4255127,-119.8268104,West,Santa Barbara County,,
47403,Starlight Drive-in Theatre,Bloomington,IN,39.0585205,-86.5430505,Midwest,,,
97479,Sutherlin/Umpqua Valley KOA Holiday,Sutherlin,OR,43.3874448,-123.3530453,West,,,
68064,Quasar Drive-In,Valley,NE,41.3808272,-96.3846129,Midwest,,,
16154,Reynolds Drive In,Transfer,PA,41.3338866,-80.411079,Mid-Atlantic,,,
01652,Drive-In Theater,Leicester,MA,42.2462732,-71.9422754,Northeast,Worcester County,,
90723,Paramount Drive-in Theaters,Paramount,CA,33.9000198,-118.1622842,West,Los Angeles County,,
81416,Tru Vu Drive In,Delta,CO,38.7517581,-108.0581942,Mountain,Delta County,,
12083,Greenville Drive-In,Town of Greenville,NY,42.3990805,-74.0270725,Mid-Atlantic,Greene County,,
14063,Van Buren Drive-In,Village of Fredonia,NY,42.4454486,-79.4105049,Mid-Atlantic,Chautauqua County,,
46241,Tibbs Drive-In,Indianapolis,IN,39.7593378,-86.2177983,Midwest,Marion County,,
04992,Narrow Gauge Drive-in,Farmington,ME,44.6707456,-70.1538373,Northeast,Franklin County,,
65605,Sunset Drive-in,Aurora,MO,36.9717093,-93.6964574,Midwest,Lawrence County,,
63745,Rock 'n' Roll Drive-In,Blomeyer,MO,37.2265205,-89.6609661,Midwest,Cape Girardeau County,,
65270,B&B Moberly Five and Drive Drive-In,Moberly,MO,39.452387,-92.4334991,Midwest,Randolph County,,
43517,Fleo’s Flicks Drive-In,Edgerton,OH,41.4493111,-84.7334598,Midwest,Williams County,,
65622,Twin Crescent Drive In,Buffalo,MO,37.6210294,-93.1034846,Midwest,Dallas County,,
59840,Pharoahplex Drive-In,Hamilton,MT,46.2854064,-114.1428761,Mountain,Ravalli County,,
25261,Mount Zion Theatre,Mount Zion,WV,38.8405305,-81.1104764,Mid-Atlantic,Calhoun County,,
83401,Motor Vu,Idaho Falls,ID,43.5162454,-112.0106268,Mountain,Bonneville County,,
83460,Teton Vu Drive In,Rexburg,ID,43.8489691,-111.7704404,Mountain,Madison County,,
